character,phrase,meaning,pinyin,wenzhouhua,shengmu,yunmu,verify
携,带携大家人,,,xi,x,i,
歇,歇一歇,,,xi,x,i,
扇,,,,xi,x,i,
悻,悻起|悻兮,,,xiang,x,iang,
校,揢人校|校啦闿,,,xiao,x,iao,揍
朽,全朽,,,xiao,x,iao,2
肖,,,,xie,x,ie,
肖能,,,,xienang,,,
烧柴,,,,xiesza,,,
肖能,,,,xinang,,,
峋,山路真峋,,,xiong,x,iong,
笋,,,,xiong,x,iong,
手,,,,xiu,x,iu,
叔伯,叔伯兄弟,,,xiuba,,,
虚,,,,xv,x,v,
舀,水舀,,,ya,y,a,
约,约好|手约一约,,,ya,y,a,
跃,,,,ya,y,a,
一,,,,yai,y,ai,
嚚,嚚矜起,,,yang,y,ang,
应,应嘴搭对,,,yang,y,ang,
音,,,,yang,y,ang,
音静,,,,yangszeng,,,
嚚矜,,,,yangzeng,,,
蝤蛑,,,,yaomong,,,
有胚,,,,yaopai,,,
舀,舀水|舀起,,,ye,y,e,
鹞,放鹞,,,ye,y,e,
要,,,,ye,y,e,
善,善文,,,yi,y,i,
象,大象,,,yi,y,i,
像,像你,,,yi,y,i,
样,,,,yi,y,i,
腌,盐腌起|腌咸卵,,,yi,y,i,
烊,冰烊爻,,,yi,y,i,
爷,阿爷|俩爷儿,,,yi,y,i,
亦,亦恁种起|亦吃爽亦喝爽,,,yi,y,i,
弋,弋起准,,,yi,y,i,瞄准
意,意否意|意该个|意许个,,,yi,y,i,要
瘗,瘗顶倒,,,yi,y,i,
勚,螺帽勚爻|螺纹勚|牙讲勚,,,yi,y,i,
噎,噎牢|噎落,,,yi,y,i,
墙,,,,yi,y,i,
舌,,,,yi,y,i,
捷,,,,yi,y,i,
夜,,,,yi,y,i,
爷,,,,yi,y,i,
瘗顶倒,,,,yidingde,,,
厣儿,,,,ying,,,血痂
